name,x,y
daj	Meitene	78	100
da	Puisis	65	74
kr	Meitene	82	108
ma	Meitene	72	117
gu	Meitene	77	90
ar	Puisis	70	79
za	Meitene	74	87
re	Puisis	62	74
ie	Meitene	69	83
ro	Puisis	82	111
